Open Time,Open,High,Low,Close,Volume
2025-05-15 14:11:00-03:00,103673.55,103675.67,103660.0,103675.66,1.6337
2025-05-15 14:10:00-03:00,103761.31,103761.32,103671.61,103673.54,24.83481
2025-05-15 14:09:00-03:00,103759.99,103771.86,103746.03,103761.32,10.51389
2025-05-15 14:08:00-03:00,103739.99,103790.66,103735.66,103759.99,13.73061
2025-05-15 14:07:00-03:00,103690.82,103740.0,103690.81,103740.0,29.9562
2025-05-15 14:06:00-03:00,103718.46,103755.25,103690.81,103690.81,15.12984
2025-05-15 14:05:00-03:00,103742.17,103758.39,103700.0,103718.46,12.50637
2025-05-15 14:04:00-03:00,103767.16,103767.71,103722.28,103742.17,20.6882
2025-05-15 14:03:00-03:00,103781.08,103781.09,103746.03,103767.17,12.6381
2025-05-15 14:02:00-03:00,103841.26,103841.27,103781.08,103781.08,19.2693
2025-05-15 14:01:00-03:00,103780.84,103841.27,103767.71,103841.25,26.39779
2025-05-15 14:00:00-03:00,103846.28,103892.86,103777.77,103780.84,34.60349
2025-05-15 13:59:00-03:00,103777.77,103847.13,103777.77,103846.27,10.76733
2025-05-15 13:58:00-03:00,103764.5,103777.78,103728.13,103777.77,6.55025
2025-05-15 13:57:00-03:00,103807.74,103827.92,103750.52,103764.5,17.04204
2025-05-15 13:56:00-03:00,103746.03,103807.74,103732.28,103807.74,9.35646
2025-05-15 13:55:00-03:00,103833.7,103833.7,103733.04,103746.03,7.6601
2025-05-15 13:54:00-03:00,103769.52,103836.82,103769.52,103833.7,37.13133
2025-05-15 13:53:00-03:00,103746.04,103777.78,103720.06,103769.53,16.5258
2025-05-15 13:52:00-03:00,103752.68,103770.0,103674.45,103746.03,34.17385
2025-05-15 13:51:00-03:00,103739.32,103780.0,103671.4,103752.68,17.16372
2025-05-15 13:50:00-03:00,103714.28,103739.33,103697.12,103739.32,11.5108
2025-05-15 13:49:00-03:00,103673.95,103714.29,103640.05,103714.28,6.68332
2025-05-15 13:48:00-03:00,103671.59,103710.15,103631.25,103673.94,13.45658
2025-05-15 13:47:00-03:00,103630.05,103714.28,103619.04,103671.59,18.8911
2025-05-15 13:46:00-03:00,103587.31,103673.83,103572.0,103630.06,16.11762
2025-05-15 13:45:00-03:00,103596.18,103719.0,103587.3,103587.31,85.11003
2025-05-15 13:44:00-03:00,103583.95,103611.74,103567.89,103596.18,68.44053
2025-05-15 13:43:00-03:00,103544.06,103585.61,103535.53,103583.95,29.44965
2025-05-15 13:42:00-03:00,103414.49,103544.07,103403.1,103544.07,86.47346
2025-05-15 13:41:00-03:00,103417.17,103445.91,103406.65,103414.5,24.65975
2025-05-15 13:40:00-03:00,103393.81,103417.17,103340.0,103417.17,7.79587
2025-05-15 13:39:00-03:00,103286.04,103417.28,103286.04,103393.81,13.39964
2025-05-15 13:38:00-03:00,103328.23,103328.24,103284.43,103286.03,8.61875
2025-05-15 13:37:00-03:00,103285.72,103333.34,103285.71,103328.23,8.15716
2025-05-15 13:36:00-03:00,103216.65,103285.72,103204.73,103285.71,50.9757
2025-05-15 13:35:00-03:00,103116.93,103216.66,103116.93,103216.66,7.01717
2025-05-15 13:34:00-03:00,103040.0,103136.21,103039.99,103116.93,16.13415
2025-05-15 13:33:00-03:00,103066.87,103066.88,103026.33,103039.99,12.31179
2025-05-15 13:32:00-03:00,103120.5,103129.35,103066.87,103066.87,4.99909
2025-05-15 13:31:00-03:00,103193.2,103193.2,103110.06,103120.5,7.69048
2025-05-15 13:30:00-03:00,103168.09,103219.5,103168.09,103193.2,6.79272
2025-05-15 13:29:00-03:00,103164.29,103187.5,103164.28,103168.1,8.84009
2025-05-15 13:28:00-03:00,103104.57,103180.0,103104.57,103164.28,10.53975
2025-05-15 13:27:00-03:00,103169.5,103169.5,103075.83,103104.58,27.0427
2025-05-15 13:26:00-03:00,103224.76,103224.77,103169.5,103169.51,6.61952
2025-05-15 13:25:00-03:00,103214.37,103279.06,103197.62,103224.77,15.29297
2025-05-15 13:24:00-03:00,103180.0,103249.9,103157.79,103214.38,16.00361
2025-05-15 13:23:00-03:00,103156.94,103213.27,103156.93,103180.0,8.72648
2025-05-15 13:22:00-03:00,103135.9,103160.8,103096.03,103156.94,15.32039
2025-05-15 13:21:00-03:00,103317.26,103317.27,103135.89,103135.89,22.46775
2025-05-15 13:20:00-03:00,103214.25,103317.28,103190.2,103317.26,22.81452
2025-05-15 13:19:00-03:00,103192.03,103216.48,103180.45,103214.25,2.65994
2025-05-15 13:18:00-03:00,103203.54,103243.02,103160.71,103192.03,20.93249
2025-05-15 13:17:00-03:00,103142.85,103203.54,103079.36,103203.54,15.52754
2025-05-15 13:16:00-03:00,103166.04,103183.89,103105.27,103142.85,13.07513
2025-05-15 13:15:00-03:00,103090.08,103166.05,103090.08,103166.05,13.34879
2025-05-15 13:14:00-03:00,103111.17,103119.83,103090.08,103090.08,7.02914
2025-05-15 13:13:00-03:00,103134.47,103134.47,103096.8,103111.16,7.30919
2025-05-15 13:12:00-03:00,103192.14,103192.14,103104.0,103134.47,21.44064
2025-05-15 13:11:00-03:00,103145.39,103209.19,103145.38,103192.14,15.45461
